Review,Star,Like,Dislike
"Finally after long wait I got my 512 GB IPhone 14 Pro Max, Deep Purple Colour. Superb Camera quality. Looks Premium. Upgraded from IPhone XR. Battery backup is nice. Thank you Flipkart for timely delivery. ",5,1723,190
Madly in love with the phone performance is blazing fast I love the pro motion display and dynamic island works as advertised I am in love with that feature ð I would like to thank Flipkart for organising the stock for me and delivering my phone on time before the delivery date ,5,2285,340
One of the best Smartphone you can buy right now.Let's start with the Pros of the phone:-Dynamic Island is a joy-Always-on screen is gorgeous-Exquisitely premium design-Beautiful 120Hz display-Incredible 48+12+12+12 MP camera system-Blistering performance-Outstanding battery life-Robust iOS 16 softwareNow let's talk a little about the Cons:-One of the heaviest phones you can buy-Expensive ,5,1062,171
"I think there is much hype created for the camera and the dynamic island. If I talk about camera, I have gotten better images with iPhone 13 in comparison to iPhone 14 Pro Max. Design and build is damn good for sure. Display is crisp and clear. Feels premium when you hold it. But it is heavy, so could feel a lot of weight in your hands. Sound is great with the onboard speakers. It is loud and clear. However if you want to feel bass do use a headphone or AirPods. ",4,70,23
I purchased iphone first time. I loved the camera quality. But I would ask apple to please provide a feature guide. So we know how to utilize iphone fully and feel like it's worth paying lacs of rupees. ,5,1,1
Bought 1TB pro Max .... Op product..... Delivered safely and effectively... Thank you â¤ï¸ ,5,5497,681
Awesome camera quality. Just love it. ,5,625,67
"King is here, it is really super se upar and flipkart delivery just mind blowing. Delivered early. Mine is pro max 512gb Silver colour. ",5,1078,153
"Finally, I got iPhone 14 Pro Max 512GB ( Deep Purple). Performance, Looks, Feels and Quality are awesome. Image and Video Quality are superb without any doubt. Don't think about it, Just go for it. JUST AWESOME. LOVED IT... ",5,671,98
Excellent iPhone most beautifully crafted and technically mastered for perfection in all tasks ! ,5,208,26
Thank you seller Im so happy with the iPhone 14 pro max got it in deep purple colour ðLoved the camera and everything about itThis is my first purchase from Flipkart. ,5,252,38
Superb performance ,5,319,52
Thank ,5,2692,550
Nothing to say ð Just Awesome ð ,5,2464,517
Genuine product ,5,454,85
"This is good but not very good, if you have so much money so you can go with it, I feel very heavy in my hand, camra, battery and performance next level. spend money carefully, thanks Flipkart. ",5,158,29
Just awesome ð..i bought pro Max 512 gb ,5,1468,380
Good but no major upgrade from 13 pro max ,4,262,107
"Got delivered today, just awesome phone ",5,4,1
Everything is awesome ð ,5,5,2
very nice product   fast workingthanx for Flipkart for fast delivery ,5,1,0
Beast at its best.. ,5,1,0
Very good ,5,3,3
Best in class ,5,3,4
Awesome phone â¤ï¸ ,5,2,2
Very very outstanding product ,5,3,6
"Superb functions, fantastic camera Quality ",5,1,0
I switch to ios from android after 10 years so this review might help for migratorsItâs been a month using the iPhone13 and this was my experience1. Design - its simple and no nonsense design . Expect white and pink rest of the colours are fingerprint magnets.  I have seen all the colours and I highly recommend the pink . Itâs so light pink which makes it not girlish. See it for yourself it really looks so premium in light pink colour. For rest of it except white the aluminium frame wil... ,5,14027,1889
"Amazing beast....As expected , didn't disappoint me,Had to sell hard chunk of kidneys to get it !!;pCamera quality is definitely a super upgradeBattery is super.. easily last throughout the day with heavy usage.Light weight looks stylish what else you need??Starlight color just wow!!!Apple it would have been better if you should  have given an adaptor. Increase 2k price and give it in box!!!Simple ....Edit 1 : After 14 days of usage highly satisfied with battery performance, Last thr... ",5,21624,3406
"Picture quality is amazing you do not need to think twice about buying this for performance and photos, just go for it. Bionic A 15 is super fast and it has amazing performance, It is specially good for gaming although battery backup is not that good if you are a heavy user,But if you are a light or medium user it will give you battery backup of whole day in one charge. ",5,288,41
Just upgraded from 11 to iPhone 13 ..cinematic mode video awesome camera awesome display awesome Looks A1 battery life is also good.New filter mode in camera added ,5,6528,1233
Awesome camera Amazing battery life Super xdr display is ððð»Playing games and day to day task are smooth Face ID is superbiOS 15 is really awesome ð¤© thanks to Apple ,5,4040,767
Day 2 Review: Display shows great color. Performance was consistent since day one. All the small things you need to make a good phone is here. ,5,2019,420
"Very impressed with this order.. i phone 13 best in class , awsm camera quality, fastest in speed,Very happy with my product ",5,734,153
"Just shifted from Android to iOS .. The new iphone 13 is a great phone with a lot of improvements. It has the best camera on the market..it works good in low light, the software is much improved, and the battery life is long lasting. ",5,493,105
Just love it â¤ï¸Camera is good Night mode is killer Performance and display is best Face id is very fast Looks very premium in hand Just go for it without thinking too much ! ,5,123,21
"That was quick delivery by FLIPKART.Box is so compact and light weight, for a moment I had doubt whether box has Mobile or not. Product Red iPhone 13 is actually RED this time. Feels comfortable when you hold in hand. Feels light and more like big brother of iPhone 5s.Selfie camera is great and battery seems better than iphone 12 ",5,2096,527
Got it in 2 days.so happy with the phone.starlight white is classy n suberb. That premium look is exquisite.Flawless ui... better battery backup.I am satisfied with the purchase.There is no phone like an iPhone :) ,5,292,63
It's  just mind-blowing  I have switched from Android to iOS it feels fantastic. The  alluring effect and  the fascinated color it's top notch. I was hesitating to buy online but one can completely rely on. Special thanks to ekart and flipkart to deliver only in 2days delivery is quick  and trustworthy. ,5,551,131
The most premium feeling I ever had while holding a phone was of this iphone 13.This is my first iPhone apart from having ipad pro but i can guarentee you that it had the most premium in hand experience.The flipkart service was awesome and it got delivered before expected date. Hats off! Overall an excellent experience it was. An iphone is not hyped just for no reason. ð ,5,784,220
"First of all, this is a nice switch from Android in terms of software experience and optimizations.The kind of performance this iPhone offers is incredible. Even though this one is not having high screen refresh rates, it performs well compared to most of the android devices. Camera performance is fantastic, especially the cinematic mode is whole new experience.So far, under minimal calls, normal usage (like checking notifications atleast once in an hour), atleast 2 hours of streaming video... ",5,202,49
"Reviewing after almost 1month of usage. Excellent camera, superb display, awesome in-hand feel, powerful performance. Super happy with the purchase. Battery backup is the only concern. Apple must work to provide better battery performance. ",5,440,124
"It's a new iPhone! It's faster than the last ones I guess, and it should be good for the next 80k miles. The only gripes I might have, probably is not with the phone but the latest incarnation of iOS. I had to go into settings to turn off facial awareness to have a loud ringer, and it seems my screen isn't nearly as sensitive to touch in text areas as my old XR. As I've said though, it's most likely something in the new Operating System yet to be ironed out. Still a nice piece of kit, yet no ... ",5,182,46
"Wonderful device. If you have some more budget go for 256GB which I bought. The Blue colour is nice.Its a bit thicker but doesnât feel. Very handy design.I was a android user but after using this i am fan of Apple.Now screen, Huge update from 12. Its more bright more resolution more details.Sound quality is good but not very loud.Camera is awesome. Video is at it best. Due to sensor shift stabilisation low light photography is very good and easy.OS and CPU performance is mind blowing.I... ",5,816,254
"Excellent after using 1 week and played Pubg, experienced a good battery and display with faster processor. Loved it ",5,194,55
"My 1st iphone and I'm glad it is. With killer camera, amazing battery life, excellent performance this phone just rocks. The display even though is astounding but, in my opinion Samsung flagships displays are the best. I don't mind the display refresh rate being 60hz as you can hardly tell any difference in day to day use but, cmon apple it's 2022 and nowadays even 15-20k Android phones provide 120hz display. Last but not least security. Hmm well, there is no other phone as much secure as i... ",5,480,183
I am very pleased that I bought the original iphone 13. Excellent and fast delivery. I've been waiting for him for a long. ,5,604,274
"A surprise boxI got the delivery in within less than 20 hours. Thanks to Flipkart ð.So far this is my first Iphone. I was very excited about the device and also had so much expectations from it, all of which got fulfilled.First impressions:-1. Display:- So bright so vibrant. 10/10     Trust me you wont feel like its a 60hz display.       Not a single lag. 2. Camera:- So good so pro. 10/10     No comments. Its super good.3. Battery:- this is the part where I'm so amazed.  9/10... ",5,138,56
"The new iPhoneâs display is brighter than its predecessorâs. The battery life is longer. And Apple has improved an already great camera with new sensors and computational photography features that make you feel like a pro (even on a non-Pro phone).Yes, the A15 Bionic powering the iPhone 13 is once again the fastest chip in the land. But itâs more about what this chip lets you do. This includes Cinematic mode, which adds depth of field to your videos while automatically shifting focus, and Ph... ",5,621,412
Switched from android to iOS. In hand feel of iPhone 13 is very good .. superb to be precise because of its 6.1 inch display. Battery performance is simply awesome.Camera is superb with high end image processing!Charging speed is good even with a 20W charger. ,5,130,116
