title,reviewer,rating,date,review,helpful,total_votes,show_title
Surprisingly good,Rasalgheti_2000,7,2 September 2022,"A pleasant surprise, the cinematography is impeccable, the characters quite well done, the plot looks like a link between the stories of the First Age, the Silmarillion and the stories of the Lord of the Rings of the Third Age, the rhythm of narration is pleasant albeit a bit slow. If the outcome of the series will be to narrate how Sauron forged the Rings of Power, it will definitely be something to watch. Until this moment, I think that in general terms, at least the first chapter delivers. I think enough to be cautiously optimistic about what the next 7 episodes might turn out to be. I must add, again that I am pleasantly surprised.",1431,5364,The Lord of the Rings: The Rings of Power
Welcome back to Middle-earth... or maybe not at all,snowadian,4,2 September 2022,"Season edit 4/10:The season finale was okay, some decent moments. The writing is just not good enough for such an expensive show/Tolkien's world. Episodes 3-7 were so poorly put together, that it took away any momentum that the finale created.I cannot get over the fact that this show was being promoted as the most expensive season of television ever made, but did not contain one single scene to justify such a claim. Where was a Helms Deep or Smaug scene? The battle scene in episode six was exceptionally poor with a handful of makeshift houses as the backdrop. After the gorgeous city scapes and cinematography in episodes 1 and 2, we got much lesser quality over 3-7 (albeit with a small handful of decent shots of Numenor).Dialogue is awful, there seems to be one writer quite capable of good lines, mixed in with lesser writers who can't keep up. It's very disjointed.Lastly, the story itself is not well put together and far too rushed. This series had so much potential, but is being squandered on a creative group that has no leadership. Too many competing ideas coming to the forefront, creating a jumble of story arcs that don't fit together nicely.Hoping Season 2 tries harder with all of the incredible resources they have on hand. This show needs to be so much better.4 episode edit 6/10:After the initial impression wore off from getting to return to Middle-earth, and now 4 episodes in, i have lost some love for this show.For a show that is supposed to be planned over five seasons, potentially 40-50 hours, I have no idea what the rush is. Galadriels story is moving way too fast. As well the writing is certainly subpar for such an expensive series.Visuals are still very impressive, music is great, but the stories are not very well put together. Direction and writing is not good enough.Original review 10/10:I was a doubter, I did not believe this was going to be very good. However, I enjoyed every minute of the first two episodes! The visuals are outstanding, the music is incredible and the stories are entertaining! I wanted more and never felt bored!This version of Middle-earth is very well crafted. It is beautiful but feels very dangerous. There is so much more to explore in this World, and the show runners have crafted an excellent start for us to begin this journey.World building is the best I've seen in any show - ever. It's otherworldly on another level and sucks you right in.I am very much looking forward to the next episodes! Great job to everyone involved, you have certainly taken great care of Mr. Tolkiens works!I hope I get to see the Silmarillion in my lifetime, done with this much care!",1487,4914,The Lord of the Rings: The Rings of Power
Two Episodes in and Genuinely Looking Forward to More.,Backwards710,4,2 September 2022,"We all know liberties were taken with this series so my review is not based on faithfulness to the source material.A lot of the marketing for this show led people to fear it would be woke. I didn't see anything like that. I wasn't rolling my eyes or cringing at any virtue signalling.The pace is a little rough in parts but since it's the beginning of the series I almost expect a little dawdling. There's a lot going on, things to be set up and introduced etc...The characters and the story is engaging though, the cinematography was well done, and the score seemed to fit... so I'm honestly excited to see where this series goes.Definitely give this a shot and decide for yourself.",1282,4545,The Lord of the Rings: The Rings of Power
Immersive and glorious.,saimariejohnson,10,2 September 2022,"I was immediately drawn in! I loved the beginning sequence and the world built is truly beautifully immersive! I can't wait to see what more comes from this exciting new fantasy series!They did a great job filming and integrating various species and backstories to set the stage for this, and I am sure it will be a fan favorite in no time.The explanation for the elves' position in having to begin fighting and their lack of a word for death was especially notable from the start. It gave a healthy understanding of why they feel so reluctant to trust any other groups. As an avid lover of fantasy I feel that seeing all the places such as Lindon, the Capitol of the Elves really helps to fully visualize Galadriel's experience and her suffering alike.",1088,4266,The Lord of the Rings: The Rings of Power
Pretty good start,tsbond-209-850503,9,2 September 2022,"Was not bad at all a little slow to get going but so many characters to introduce so is to be expected. However was pleasantly good 2 hours to start off with. Good acting from everyone in the cast.I do not know all the lore so just as a series I think I will enjoy it very much. Looking forward to the rest of the season and hope it only gets better. Should get more exciting as the threats become better known and action picks up a bit.Just wish I could binge the whole thing at once, with today's streaming it has become the norm for some of us at least with many series out there. Would have kept me home for the holiday weekend for sure.",1230,3985,The Lord of the Rings: The Rings of Power
So Much Better Than I Expected,VertigoOne,10,2 September 2022,"Few series' have stirred up this much controversy; and I, for one, find it impossible to write a review for these first two episodes that isn't in some way affected by the current cultural zeitgeist.Well, in a perfect world, Rings of Power would be a hit. It has all the elements a TV-lover could ever ask for in an epic story -- the directing, acting, cinematography, set design, etc. Are all top-notch and build a beautiful world to become immersed in. Is it Tolkien's world? I don't know. I propose that most of these modern additions to time-tested materials should be assessed through the lens of fan-fiction. In the same way that Disney's Star Wars additions feel like fan fiction, I would say that Rings of Power feels like fan fiction. But very clean, well-produced, and artfully envisioned fan fiction. I, personally, loved it and was not disappointed, but I, also, am not accustomed to the body of work of J. R. R. Tolkien. So I think all the cinema world can do is stop and wait and see what the ""true"" fans have to say. 10/10, so far.",991,3951,The Lord of the Rings: The Rings of Power
I expected much better after all the hype,twillbox,5,3 September 2022,"Ok So where to begin. I gave it a 2.5 stars or a 5 out of 10 because I don't want to seem like I am review bombing. I notice the positive reviews seem very general whilst the mediocre and bad reviews seem much more specific, which I find telling. Yes the Cinematography is great and most of the production values are also very good, though some are off key as well. After two episodes I have little idea where the plot is going and the scene writing seems very weak. The dwarves are pretty well represented but all the humans except the one lead female seem like idiots. The Harfoots/halflings are kinda cool. The elves seem very poorly represented and very off key on so many levels. So yes, I have read just about everything JRR wrote himself, but I don't mind some adaptation for TV/Film either, but this really seems to miss Tolkien's tone. Most of the Elves just don't look or act like.. well...Elves...Period. That's a big problem. Sorry but it is. Many are miscast. Elrond? Come on. No dis to the actor, just wildly miscast and badly written. Most of the Elves are poorly written and directed, and they are the backbone of the story here. I like the actress playing Galadriel, but the way her character is written is ridiculous and not very engaging or likable. It seems everyone making entertainment content from classics wants it to be something it isn't. They would have been better off making a different show that was original or based on something they actually wanted to be somewhat faithful to in their representation. Instead it feels like a rip off.Most of the dynamic and action based scenes have way too close in camera work and are jolting and unclear. And they jump back and forth too quickly between story lines so it is hard to get invested. Written for people with really short attention spans perhaps? The CGI is ok but I honestly don't see where they spent all the $ unless it was in a critic payoff slush fund. Or perhaps most of the critics are not really familiar with the source work at all and don't know the stories and tone that this is supposed to be based off of.I had trouble getting through both episodes. Honestly, most of the adult characters seem whiney, immature and kind of stupid. Many of these folks are already classic adult developed characters at this point in the timeline, not the whelps they seem to be here. Again, very poor writing and character development. I am struggling to like or care about anyone in the show, though I do like Arondir & Nori.I will probably keep watching the show for the visuals and the pastime but it seems like it should be so much more than it is. I really don't mind creative license to fill in the plot development if it's well done. It just seems like it is not well done here. They could make things up that match the gist and tone of Tolkien's second age, but instead it almost seems like a completely different world/story which is not how they presented the show in the lead up marketing campaign. I mean they have been hawking this thing mercilessly for months and months like the second coming of Tolkien. And really building on that point, It seems like they used the name to capture an easy audience when they did not have enough of the rights, or the desire to do a solid adaptation. Seems like a marketing gimmick. Meanwhile Amazon has bought and tied up the rights to many fine 20th Century SciFi and Fantasy works by the top talent of the time and then failed to bring them to market. The works of Roger Zelazny and Marion Zimmer Bradley are two great examples of fantastic properties that they have bought and then let languish, where they could be first to the table in high value adaptations of the Chronicles of Amber, or the Darkover stories just to name a few. Instead they went for the easy name recognition and then made a visual spectacle with little real substance. What a shame, and a squandering of both opportunity and a ridiculous amount of $.I could say more but I don't want to just rag on the show. I know many fine people put their talent and hard work into it, and taken as a stand alone perhaps it is not so bad. Unfortunately for everyone except people who just take whatever they are given, it was not presented as a stand alone, but rather and important adaptation of Tolkien's work, which it clearly is not.If you don't care about Tolkien much or any continuity of the world building or tone, then one can watch it as reasonably entertaining eye candy I suppose, in an entertainment world that is long on content but short on quality.I wrote this to inform not to simply be critical.Cheers.",2850,3738,The Lord of the Rings: The Rings of Power
"It's is not bad fan fiction, nor a true faithful adaption, but it is worth a watch",robinhio84_,7,2 September 2022,"Don't expect to be blown away, but it's a creative and fun watch about a very beloved universe.SUMMARY
The story takes place in so called ""Second Age"" of Middle Earth after the defeat of the evil Morgoth who for the first time in history brought darkness, death and decay. The Elves defeated Morgoth and his armies of Orcs. But the lands were left in sorrow and his evil orc followers had spread around every corner of Middle Earth and were now under the command of Morgoth's dark commander Sauron, who never got beatenIt centres around Galadriel who had been traveling from centuries to the farest corners of Middle Earth to hunt down Sauron without a clear trail.ANALYSIS
All of this has been made without having the rights to adopting the first two ages of Middle Earth, but merely the appendixes of the third generation about what had happened before. The history and stories of 3500 years runs in non chronological order and, liberties had to be taken on the story. This sounds concerning to me and most likely to other fans of the books. But it actually works, mostly at least some elements like the dialogue can come across a bit clunky in comparison to conversations coming from Tolkien's hand.Also instead of going on a route of many different characters in the beginning Galadriel gets a lot of focus, whilst as a viewer there is no instant connection with her persona.DIALOGUE 6/10
Good at best, boring and odd at other times. The forced emphasis on getting the pronunciation of Galadriel right is a bit ridiculous especially since her name comes up quite a bit. And sometimes the daunting task of creating dialogue that fits in Middle Earth fails. But in general the dialogue is ok to watch.ACTING 6,5/10
There is room for improvement as some of the halflings and elves needs to grow in their role. The acting is a bit theatrical at times (due to the script). It seems to be expected, that this will looses up as the series progresses. Most of the actors are lesser know, so the actual focus can be on the story instead. Some stand outs, Robert Aramayo as Elrond can be rough at times, but Owain Arthur as Durin is very convincing.VISUALS & DECOR 10/10
No complaints, it's looks great and it is a feast for the eyes. It is here where the series shinesCOSTUMES & MAKE UP 7,5/10
Very well, but not as good as Game of Thrones, sometimes the characters look like actor from Earth today in a costume. Instead of being an integral part of the Middle Earth universeMUSIC 7,5/10
Good and fitting during the show on the background. Although the intro and outdo songs are traditionally cinematic and could have been more epic.CREATIVE LIBERTIES 7/10
While the pace and cinematics are fantastic. The original dialogue is both good and bad variably. The halflings inclusion and some other liberties can take you a bit out of the original lore. But as much concern I had prior to release it is at no means inherently bad.OVERALL JUDGEMENT 7/10
So how good is it, and why? It is an ambitious project that comes with its flaws, but that is not what matter at the end of the day.The question is: is it watchable and fun, and that is surely is. It looks good and the rough edges on the points discusses earlier, may clear up as the series progresses.It is fun and interesting watch and whilst the first episodes don't totally suck you in, they will please people and will leave the majority of people wonder for more.",1381,3519,The Lord of the Rings: The Rings of Power
i will be honest,lobitoneors,6,2 September 2022,"I was expecting a total fiasco but I must admit that aesthetically and visually it is an excellent job. But, Galadriel disappoints me, she is very belligerent for the thousands of years she is supposed to be and the elves in general seem to lack all knowledge before the outside world. The detail that the elves have short hair disappointed me a lot, the elves are not being treated and portrayed as they should. The representation of the Elven Kingdoms is wonderful.I like the dwarves, they don't get out of the picture and Khazad-Dûm is a monument to the art of Durin.Speaking of the story, for a fanfic based on elements of the appendages and being built, they treated the elves poorly in the first instance.",1235,3371,The Lord of the Rings: The Rings of Power
One ring to rule them all one ring to find them and in the darkness bind them,gabethedinosaur,10,2 September 2022,"Im really enjoying it . It's all making sense of how elves knew about mordor the dark lord and how hobbits will shape the Fortunes of middle earth. I hope in the next episodes I see Gondor , the shire , the balrog . Peter Jackson deserves the credit for giving Amazon all the advice and how he created the lord of the rings the hobbit . His vision was very well done . But now Amazon is gonna do a remarkable job on lord of the rings before the hobbit , Gollum, one ring and the fellowship of the ring . I have to say this series is all connecting to the simalarion where middle earth was just getting started.",592,3302,The Lord of the Rings: The Rings of Power
